Algorithm,Clusters,Silhouette,CalinskiHarabasz,DaviesBouldin,ARI,NMI
KMeans,10,0.11352157938723344,429.5483949938718,2.5393108838684446,0.3405176517786332,0.48408321045152314
Bisecting KMeans,10,0.08570140936484429,378.8069504962635,3.0781305989900147,0.30302171527136806,0.4445190732503469
Gaussian Mixture,10,0.08964575601637034,393.03702522985134,2.858821543023474,0.44290577287315663,0.527506446589698
